dt,tile_id,0
2016-12-23T07:53:32Z,35KQR,[  3  16   8   3 155  69   2   2   1   1]
2016-12-03T07:53:02Z,35KQR,[  1   1   5   1   5  41   1   9   2 193]
2016-11-23T07:52:32Z,35KQR,[  1   2  44   1  75 115   1  19   1   1]
2016-11-06T08:01:22Z,35KQR,[0 0 0 0 0 0 0 0 0 0]
2016-10-27T08:00:22Z,35KQR,[0 0 0 0 0 0 0 0 0 0]
2016-10-24T07:50:02Z,35KQR,[  1   1  22   1 152  70   1  10   1   1]
2016-10-17T07:59:22Z,35KQR,[0 0 0 0 0 0 0 0 0 0]
2016-10-07T08:00:02Z,35KQR,[0 0 0 0 0 0 0 0 0 0]
2016-10-04T07:47:42Z,35KQR,[  1   3  35   1  55 145   1  17   1   1]
2016-09-27T07:57:02Z,35KQR,[0 0 0 0 0 0 0 0 0 0]
2016-09-24T07:49:32Z,35KQR,[  1   1   5   1 215  31   1   4   1   1]
