dt,tile_id,pixel,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,year_no
2017-09-17T07:59:59Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-12T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-09T07:49:41Z,35KQR,0,1,9,3,1,7,228,1,9,1,1,0
2017-09-07T07:55:59Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-02T08:00:01Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-30T07:46:11Z,35KQR,0,1,7,5,1,8,225,1,10,1,1,0
2017-08-25T07:49:39Z,35KQR,0,1,10,16,2,58,158,1,12,1,1,0
2017-08-23T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20T07:49:41Z,35KQR,0,14,2,4,3,36,96,6,61,2,35,0
2017-08-18T07:56:09Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-15T07:46:09Z,35KQR,0,1,9,15,3,92,127,1,10,1,1,0
2017-08-13T08:00:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-10T07:46:11Z,35KQR,0,1,1,47,1,80,116,1,11,1,1,0
2017-08-08T08:00:09Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-05T07:49:39Z,35KQR,0,2,8,14,3,109,114,1,8,1,1,0
2017-07-31T07:49:41Z,35KQR,0,1,1,1,1,1,1,1,4,4,247,0
2017-07-26T07:46:09Z,35KQR,0,1,6,38,2,92,105,1,12,1,1,0
2017-07-24T08:00:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-21T07:46:11Z,35KQR,0,1,2,38,2,100,104,1,10,1,1,0
2017-07-19T08:00:09Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-16T07:50:09Z,35KQR,0,1,6,27,2,121,91,1,9,1,1,0
2017-07-11T07:49:41Z,35KQR,0,1,1,1,1,1,1,1,1,1,254,0
2017-07-09T07:56:09Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-06T07:46:09Z,35KQR,0,1,6,27,2,115,95,1,10,1,1,0
2017-07-01T07:46:11Z,35KQR,0,1,3,31,1,74,137,1,11,1,1,0
2017-06-21T07:49:41Z,35KQR,0,1,2,30,1,79,134,1,10,1,1,0
2017-06-14T08:00:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-11T07:46:11Z,35KQR,0,1,2,70,1,26,133,1,24,1,1,0
2017-06-04T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01T07:49:41Z,35KQR,0,1,4,16,2,45,179,1,11,1,1,0
2017-05-25T08:00:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-22T07:46:11Z,35KQR,0,1,2,50,1,25,162,1,17,1,1,0
2017-05-15T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12T07:49:41Z,35KQR,0,1,7,5,1,7,228,1,8,1,1,0
2017-05-05T08:00:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-02T07:46:11Z,35KQR,0,4,8,11,5,4,195,1,30,1,1,0
2017-04-25T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-22T07:49:41Z,35KQR,0,12,4,25,7,22,58,3,31,2,95,0
2017-04-15T08:00:01Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-12T07:46:11Z,35KQR,0,1,18,4,1,15,213,1,6,1,1,0
2017-04-05T07:56:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-02T07:49:31Z,35KQR,0,8,13,5,7,7,38,5,16,9,151,0
2017-03-23T07:46:01Z,35KQR,0,17,7,22,8,20,140,2,33,1,9,0
2017-03-16T07:56:51Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-13T07:49:31Z,35KQR,0,1,6,2,1,2,244,1,2,1,1,0
2017-03-03T07:48:21Z,35KQR,0,1,1,1,1,1,1,1,1,1,254,0
2017-02-14T08:00:21Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-11T07:50:31Z,35KQR,0,1,4,38,2,81,125,1,5,1,1,0
2017-02-01T07:51:31Z,35KQR,0,2,5,1,2,1,6,2,5,5,230,0
2017-01-25T08:02:11Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-12T07:52:51Z,35KQR,0,2,4,70,2,67,53,2,15,1,44,0
2017-01-02T07:53:22Z,35KQR,0,4,10,34,7,83,112,2,5,1,1,0
2016-12-23T07:53:32Z,35KQR,0,3,16,8,3,155,69,2,2,1,1,0
2016-12-03T07:53:02Z,35KQR,0,1,1,5,1,5,41,1,9,2,193,0
2016-11-23T07:52:32Z,35KQR,0,1,2,44,1,75,115,1,19,1,1,0
2016-11-06T08:01:22Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27T08:00:22Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24T07:50:02Z,35KQR,0,1,1,22,1,152,70,1,10,1,1,0
2016-10-17T07:59:22Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-07T08:00:02Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04T07:47:42Z,35KQR,0,1,3,35,1,55,145,1,17,1,1,0
2016-09-27T07:57:02Z,35KQR,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-24T07:49:32Z,35KQR,0,1,1,5,1,215,31,1,4,1,1,0
